author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
10241,2017,0,14.149568,14.149568,14.149568,1.7917595,1.7917595,1.7917595,0.48255765,0.10788012,0.63492066,0.58753926,15,1.7917595,1.3197752,3.4965076,0,1,0,1,1,0
10241,2018,0,14.342597,14.342597,14.342597,1.7917595,1.7917595,1.7917595,0.17070732,0.12038876,0.66607141,0.68201715,16,2.3978953,0.72712839,3.9702919,0,1,0,1,1,0
10241,2019,0,14.342597,14.342597,14.342597,1.7917595,1.7917595,1.7917595,0.24760771,0.15934525,0.624183,0.52068186,17,2.5649493,1.3350809,3.9512436,0,1,0,1,1,0
10241,2020,0,14.148856,14.148856,14.148856,1.6094379,1.6094379,1.6094379,0.20064963,0.14600231,0.62876254,0.66757321,18,2.7080503,0.66246647,3.8286414,0,1,0,1,1,0
10241,2021,0,14.148856,14.148856,14.148856,1.6094379,1.6094379,1.6094379,0.29591587,0.13867715,0.67604268,0.65529388,19,3.2958369,0.74264938,4.5643482,0,1,0,1,1,0
10241,2022,0,14.446644,14.446644,14.446644,1.7917595,1.7917595,1.7917595,0.35196537,0.14031149,0.6687898,0.69377303,20,3.0445225,1.1921895,4.5325994,0,1,0,1,1,0
10241,2023,0,14.291759,14.575392,14.575392,1.6094379,1.7917595,1.7917595,0.33778831,,,0.69088387,21,3.0445225,0.48219138,4.5643482,0,1,0,1,1,0
10242,2014,1,11.600224,11.600224,11.600224,0.69314718,0.69314718,0.69314718,0.59853137,0.1455534,0.51366121,0.55519778,32,2.0794415,0.48637986,2.8332133,0,1,1,0,0,1
10242,2015,1,12.756773,12.756773,12.756773,1.0986123,1.0986123,1.0986123,0.2252079,0.12946205,0.59740257,0.74210191,33,1.7917595,0.68921685,2.8332133,0,1,1,0,0,1
10242,2016,1,12.851662,12.851662,12.851662,1.0986123,1.0986123,1.0986123,0.48951933,0.14818156,0.65300548,0.79741913,34,2.3978953,0.89140624,2.9957323,0,1,1,0,0,1
10242,2017,1,13.456589,13.456589,13.456589,1.3862944,1.3862944,1.3862944,0.46974465,0.16940591,0.66412216,0.88617355,35,2.3025851,0.80237991,3.4011974,0,1,1,0,0,1
10242,2018,1,13.04041,13.04041,13.04041,1.0986123,1.0986123,1.0986123,0.52435762,0.16550383,0.65121949,0.8314985,36,2.6390574,0.51373023,3.1780539,0,1,1,0,0,1
10242,2019,1,13.04041,13.04041,13.04041,1.0986123,1.0986123,1.0986123,0.36391443,0.13666244,0.55360281,0.75605643,37,2.9444389,0.54232717,3.8066626,0,1,1,0,0,1
10242,2020,1,12.785885,12.785885,12.785885,1.0986123,1.0986123,1.0986123,0.43371746,0.15033966,0.64842105,0.77624041,38,3.0445225,1.3841656,3.9702919,0,1,1,0,0,1
10242,2021,1,13.029098,13.029098,13.029098,1.3862944,1.3862944,1.3862944,0.52484125,0.16111082,0.65151513,0.74886227,39,2.4849067,0.401375,3.7376697,0,1,1,0,0,1
10242,2022,1,13.145947,13.145947,13.145947,1.3862944,1.3862944,1.3862944,0.48535737,0.16319087,0.74570984,0.7723375,40,2.9444389,1.1101037,3.9889841,0,1,1,0,0,1
10242,2023,1,13.145947,13.145947,13.145947,1.3862944,1.3862944,1.3862944,0.33997938,0.12384008,0.67058825,0.81724542,41,3.2580965,0.73780107,4.2484951,0,1,1,0,0,1
10243,2014,0,12.752081,12.752081,12.752081,1.3862944,1.3862944,1.3862944,0.21916667,0.14827584,0.50746268,0.29644373,17,1.9459101,1.0503309,2.9444389,0,1,1,0,1,0
10243,2015,0,12.752081,12.752081,12.752081,1.3862944,1.3862944,1.3862944,0.48952013,0.1183992,0.60992908,0.098604634,18,2.1972246,0.43039346,3.3672957,0,1,1,0,1,0
10243,2016,0,12.742049,12.742049,12.742049,1.0986123,1.0986123,1.0986123,0.2964516,0.12182824,0.6329897,0.30351377,19,2.5649493,0.58510113,3.4339871,0,1,1,0,1,0
10243,2017,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.31787565,0.10355891,0.66366369,0.085236713,20,1.9459101,0.50152326,2.4849067,0,1,1,0,1,0
10243,2018,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.43765697,0.083755963,0.67901236,0.091859348,21,2.3978953,0.73966128,3.1354942,0,1,1,0,1,0
10243,2019,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.42628205,0.077706464,0.46327683,0.051938437,22,1.0986123,0.68690455,2.0794415,0,1,1,0,1,0
10243,2020,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.17741935,0.098635361,0.57763976,0.35342029,23,1.3862944,0.54067218,2.6390574,0,1,1,0,1,0
10243,2021,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.3822695,0.080952615,0.5777778,0.11725164,24,0.69314718,0.93346041,2.3978953,0,1,1,0,1,0
10243,2022,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,0.60000002,0.089241214,0.47560975,0.027302638,25,0.69314718,0.0,2.1972246,0,1,1,0,1,0
10243,2023,0,12.473982,12.473982,12.473982,1.0986123,1.0986123,1.0986123,,,,,26,0.0,0.0,0.0,0,1,1,0,1,0
10244,2014,0,13.132808,13.132808,13.132808,1.3862944,1.3862944,1.3862944,0.28656125,0.14908659,0.57746476,0.70579422,23,1.6094379,0.82776499,3.0445225,0,1,0,1,0,1
10244,2015,0,13.313396,13.313396,13.313396,1.6094379,1.6094379,1.6094379,0.36910731,0.16337053,0.57731956,0.64201099,24,2.1972246,1.2747636,3.7612002,0,1,0,1,0,1
10244,2016,0,14.010529,14.010529,14.010529,1.7917595,1.7917595,1.7917595,0.13189588,0.17670631,0.72881359,0.7205537,25,1.3862944,0.79575574,3.0445225,0,1,0,1,0,1
10244,2017,0,14.010529,14.010529,14.010529,1.7917595,1.7917595,1.7917595,0.0,0.2516759,0.55952382,0.65448141,26,2.1972246,0.78288454,3.7376697,0,1,0,1,0,1
10244,2018,0,13.804078,13.804078,13.804078,1.6094379,1.6094379,1.6094379,0.2007843,0.19050525,0.63224179,0.5994615,27,2.4849067,2.0791872,4.3820267,0,1,0,1,0,1
10244,2019,0,13.45953,13.45953,13.45953,1.0986123,1.0986123,1.0986123,0.26036751,0.19798917,0.64684016,0.62048888,28,2.6390574,0.64989781,3.7841897,0,1,0,1,0,1
10244,2020,0,13.604726,13.604726,13.604726,1.3862944,1.3862944,1.3862944,0.37378749,0.18007596,0.73440641,0.56126416,29,2.0794415,1.2185478,4.4886365,0,1,0,1,0,1
10244,2021,0,12.524073,12.524073,12.524073,1.3862944,1.3862944,1.3862944,0.41891891,0.17259157,0.625,0.49741861,30,1.7917595,0.76264107,3.0445225,0,1,0,1,0,1
